,about,address,brands,bus_details,company_link,company_name,company_type,details,equip_categories,equipment,failed_fields,master_category,phone_number,specific_category
0,,"Glendale, CA 91208 | map",,"{'Website': '<a href=""https://climateminder.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://climateminder.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30467739"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""25708306"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""19"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""https://climateminder.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://climateminder.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30467739"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""25708306"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""19"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': 'Not Available', 'No of Employees': 'Not Available', 'Year Founded': '2005'}",https://climateminder.com/,ClimateMinder,Manufacturer,"Manufacturer of self-adaptive, wireless, M2M software & hardware technology that environmental sensors & controls through their mobile handsets.",['Electronics: Agricultural'],,"['phone_number', 'equipment', 'brands']",agriculture,,Agricultural Electronics
1,,"Fairfield, IA 52556 | Locations",['Fast-Lock'],"{'Website': '<a href=""http://www.fairfieldproducts.com/index.html"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.fairfieldproducts.com/index.html"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1238863"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""21"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""http://www.fairfieldproducts.com/index.html"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.fairfieldproducts.com/index.html"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1238863"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""21"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a></li><li><a href=""http://www.fairfieldproducts.com/index.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.fairfieldproducts.com/index.html"" data-click_origin=""Prod Info CBL"" data-client_ip=""69.27.5.110"" data-company_id=""1238863"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""21"" data-servercallhost=""www.thomasnet.com"" class=""text"">Agricultural Equipment</a><a href=""http://www.fairfieldproducts.com/index.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.fairfieldproducts.com/index.html"" data-click_origin=""Prod Info CBL"" data-client_ip=""69.27.5.110"" data-company_id=""1238863"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""21"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Custom Manufacturer', 'Locations': '<a href=""/branches.html?what=agriculture&amp;heading=671008&amp;cov=NA&amp;cid=1238863&amp;bloc=NA&amp;WTZO=copro+biz+det"">All Locations</a>', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': '$1 - 4.9 Mil', 'No of Employees': '10-49', 'Year Founded': '1988'}",http://www.fairfieldproducts.com/index.html,Fairfield Industries,Manufacturer,"Manufacturer of agricultural equipment including livestock water fountains, livestock feeders & ventilation control systems. Water fountains available in various models for cattle, horses, dogs, hogs & sheep including automatic water fountains & hog drinking cups. Livestock feeders include sow & hog feeders featuring flow control adjustment, non-clogging feed flow & minimum waste. Also available are ventilation control systems for keeping livestock buildings at a pre-set temperature & feature 1 ton capacity & thermostat activated motors.
Additional Agricultural Equipment details",['Agricultural Equipment'],,['equipment'],agriculture,641-472-2153,Agricultural Equipment
2,,"Lincoln, NE 68522 | map","['PLUGR', 'Pro HD', 'StepSavr', 'Tow Pro', 'TurfSavr']","{'Website': '<a href=""https://sourceonex.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://sourceonex.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30247537"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""40"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""https://sourceonex.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://sourceonex.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30247537"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""40"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Custom Manufacturer, Service Company, Finishing Service Company, Turnkey Systems Integrator', 'Key Personnel': 'Jim Starkey, Sales Mgr.', 'Social': '<a href=""https://www.linkedin.com/company/sourceone-inc."" target=""_blank"" data-event_type=""link"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30247537"" data-conversion_action=""Linkedin"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""LINKEDIN"" data-internal_search_term=""agriculture"" data-page_content_group=""Social Media"" data-search_position=""40"" data-servercallhost=""www.thomasnet.com""><img src=""//cdn.thomasnet.com/images/icons/linkedin_icon.png"" class=""social"" alt=""Linkedin"" title=""Linkedin""></a>', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': '$10 - 24.9 Mil', 'No of Employees': '200-499', 'Year Founded': '1974'}",https://sourceonex.com/,SourceOne,Manufacturer,"Custom manufacturer of agricultural equipment including welding resistance electrodes. Materials include alloy bonded copper substrate, tungsten and molybdenum. Various capabilities include milling, packaging, finishing, forming, rolling, bending, sandblasting, turning, welding and broaching.",['Agricultural Equipment'],"['Additive Manufacturing', 'Aerators', 'Agricultural Equipment', 'Assemblies', 'Assembly Machinery', 'Assembly Services', 'Automation Systems', 'Bars', 'Bending Services', 'Blasting and Peening Services', 'Boring Services', 'Brackets', 'Broaching Services', 'Cabinets', 'Cleaning Services', 'Coating Services', 'Consulting Services', 'Containers', 'Custom Machinery', 'Cutting Services', 'Dies', 'Drilling Services', 'Electrodes', 'Enclosures', 'Engineering Services', 'Engraving Services', 'Fabrication Services', 'Finishes']",[],agriculture,888-418-7547,Agricultural Equipment
3,,"Yakima, WA 98908 | map",,"{'Website': '<a href=""https://www.haleymfg.com"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.haleymfg.com"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1106728"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""69"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""https://www.haleymfg.com"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.haleymfg.com"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1106728"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""69"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Distributor, Custom Manufacturer', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': '$1 - 4.9 Mil', 'No of Employees': '10-49', 'Year Founded': '1984'}",https://www.haleymfg.com,Haley Manufacturing,Manufacturer,"Manufacturer Of Water Filtration Equipment Including: Inline Water Filters, Water Pre-Treatment Filters, Self-Cleaning Suction Screens & Calcium Softening Systems. Applications Include Industrial, Wastewater & Agricultural Irrigation Systems",['Agricultural Equipment'],,"['equipment', 'brands']",agriculture,800-333-5246,Agricultural Equipment
4,,"Tifton, GA 31794 | map","['American Eagle', 'Caterpillar', 'Fox', 'John Deere', 'Kubota', 'Lima', 'Mannesmann', 'New Holland', 'Perkins', 'Power Shift', 'Scrambler', 'Spicer', 'Tugger']","{'Website': '<a href=""https://www.mclifts.net/index.html"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.mclifts.net/index.html"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10024766"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""90"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""https://www.mclifts.net/index.html"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.mclifts.net/index.html"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10024766"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""90"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a></li><li><a href=""https://www.mclifts.net/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.mclifts.net/"" data-click_origin=""Prod Info CBL"" data-client_ip=""69.27.5.110"" data-company_id=""10024766"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""90"" data-servercallhost=""www.thomasnet.com"" class=""text"">Agricultural Equipment</a><a href=""https://www.mclifts.net/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.mclifts.net/"" data-click_origin=""Prod Info CBL"" data-client_ip=""69.27.5.110"" data-company_id=""10024766"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""90"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Custom Manufacturer', 'Additional Activities': 'Distributor, Manufacturer', 'Key Personnel': 'Darrell Lynch, Technical/Sales', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': '$10 - 24.9 Mil', 'No of Employees': '50-99', 'Year Founded': '1953'}",https://www.mclifts.net/index.html,Master Craft Industrial Equipment Corp.,Manufacturer,"Custom manufacturer of agricultural equipment including rough terrain forklifts, generator units & irrigation systems. Rough terrain forklifts range in capacity from 4,000 lb. to 20,000 lb. Generators are available with specifications including wattage ranging from 5 kW to 20 kW, current at 480 V ranging from 10 A to 40 A, power ranging from 13.9 hp to 35 hp at 1800 rpm, & fuel consumption ranging from 0.465 gph to 1.98 gph. Irrigation systems are available with specifications including engine displacement. ranging from 2.44 L to 8.3 L, in-line 4 & 6 cylinder turbo & natural engine types, low idle speed ranging from 800 to 1000, rated power at maximum rpm ranging from 49 hp to 300 hp, fuel consumed at maximum power ranging from 2.6 gal./hour to 13.61 gal./hour, peak torque at rpm ranging from 129 ft./lb to 1027 ft./lb, & open base unit weights ranging from 900 to 2,680.
Additional Agricultural Equipment details",['Agricultural Equipment'],,['equipment'],agriculture,229-386-0610,Agricultural Equipment
5,,"Jacksonville, FL 32254 | map",,"{'Website': '<a href=""http://www.myerssethpumps.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.myerssethpumps.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10034804"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""111"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""http://www.myerssethpumps.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.myerssethpumps.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10034804"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""111"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Service Company', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': '<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://myerssethpumps.com/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://myerssethpumps.com/"" data-cert_id=""181222"" data-cert_name=""GSA Approved"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10034804"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""agriculture"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">GSA Approved</a></td></tr>\n</tbody></table>', 'Annual Sales': '$1 - 4.9 Mil', 'No of Employees': '10-49', 'Year Founded': '1991'}",http://www.myerssethpumps.com/,"Myers-Seth Pump, Inc.",Manufacturer,Manufacturer of agricultural equp.,['Agricultural Equipment'],,"['equipment', 'brands']",agriculture,800-986-6734,Agricultural Equipment
6,,"Williamstown, WV 26187 | map","['Carr-Bilt', 'Continental', 'Monticello', 'Salute', 'Venetian', 'Wilbert']","{'Website': '<a href=""http://www.carrconcrete.com"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.carrconcrete.com"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""698963"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""142"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""http://www.carrconcrete.com"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.carrconcrete.com"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""698963"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""142"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Custom Manufacturer, Turnkey Systems Integrator', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': '$5 - 9.9 Mil', 'No of Employees': '50-99', 'Year Founded': '1974'}",http://www.carrconcrete.com,Carr Concrete,Manufacturer,"Manufacturer of standard & custom agricultural products including concrete feed bunks, cattleguard & freeze-proof & 400 gal. waterers. Suitable for spring development or pressure systems from well, cistern, pond or city water sources. NPCA & PCI certified.",['Agricultural Equipment'],"['Aggregates', 'Agricultural Equipment', 'Barriers', 'Basins', 'Beams', 'Benches', 'Blocks', 'Buildings', 'Bumpers', 'Cisterns', 'Concrete', 'Concrete Products', 'Culverts', 'Docks', 'Drains', 'Feeders and Feed Systems', 'Guards', 'Houses', 'Inlets', 'Interceptors', 'Lagging', 'Lintels', 'Manholes', 'Markers and Marking Equipment', 'Minerals', 'Pads', 'Plants', 'Rooms']",[],agriculture,800-837-8918,Agricultural Equipment
7,,"Lewisburg, TN 37091 | map",,"{'Website': '<a href=""http://www.grainovator.com"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.grainovator.com"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10048056"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""162"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""http://www.grainovator.com"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.grainovator.com"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10048056"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""162"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Custom Manufacturer', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': 'Under $1 Mil', 'No of Employees': '1-9', 'Year Founded': '1956'}",http://www.grainovator.com,"Four Star, Inc.",Manufacturer,Manufacturer of agricultural equip.,['Agricultural Equipment'],,"['equipment', 'brands']",agriculture,800-251-8051,Agricultural Equipment
8,,"Springfield, OH 45504 | map",,"{'Website': '<a href=""https://www.presstechnology.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.presstechnology.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1266779"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""190"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""https://www.presstechnology.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.presstechnology.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1266779"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""190"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Manufacturer', 'Additional Activities': 'Custom Manufacturer, Service Company', 'Key Personnel': 'Dan Berner, V.P.', 'Social': '<a href=""https://www.youtube.com/user/PRESSTECHNOLOGY"" target=""_blank"" data-event_type=""link"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1266779"" data-conversion_action=""Youtube"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""YOUTUBE"" data-internal_search_term=""agriculture"" data-page_content_group=""Social Media"" data-search_position=""190"" data-servercallhost=""www.thomasnet.com""><img src=""//cdn.thomasnet.com/images/icons/youtube_icon.png"" class=""social"" alt=""Youtube"" title=""Youtube""></a> <a href=""https://www.facebook.com/presstechnology"" target=""_blank"" data-event_type=""link"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1266779"" data-conversion_action=""Facebook"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""FACEBOOK"" data-internal_search_term=""agriculture"" data-page_content_group=""Social Media"" data-search_position=""190"" data-servercallhost=""www.thomasnet.com""><img src=""//cdn.thomasnet.com/images/icons/facebook_icon.png"" class=""social"" alt=""Facebook"" title=""Facebook""></a>', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': '$1 - 4.9 Mil', 'No of Employees': '10-49', 'Year Founded': '1992'}",https://www.presstechnology.com/,Press Technology & Mfg.,Manufacturer,"Custom manufacturer of agricultural equipment including screw presses. Applications include drying grains, manure, diatomaceous earth, citrus wastes, vegetable wastes, sugar beets, alfalfa & industrial waste streams. Agricultural equipment furnishes long term odor free, pest free storage, pollutant reduction & solids recycling such as bedding, feed & compost. Agricultural equipment also includes screw press designed for manure slurry separation that produces a dry solid that can be composted & used for bedding.",['Agricultural Equipment'],,"['equipment', 'brands']",agriculture,937-327-0755,Agricultural Equipment
9,"Company Description by Thomasnet
Provider of parts and equipment for the farming industry. Product line includes hammers mills, bale grabbers, compact loaders, telehandlers, horning equipment, cut headers, header trailers and other aftermarket parts. Both new and used equipment is offered. Custom fabrication services are also available.","Lancaster, PA 17602 | map",,"{'Website': '<a href=""https://lancasterpartsandequipment.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://lancasterpartsandequipment.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30841928"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""214"" data-servercallhost=""www.thomasnet.com"" class=""text"">Homepage</a><a href=""https://lancasterpartsandequipment.com/"" onclick=""try{__adroll.record_user({\'adroll_segments\': \'e9e220ab\'})} catch(err) {}"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://lancasterpartsandequipment.com/"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30841928"" data-conversion_action=""PS Web Link"" data-coverage_area=""NA"" data-heading=""671008"" data-hierarchy_1=""TNET"" data-hierarchy_2=""COMPANYINFO"" data-hierarchy_3=""SITELINK"" data-internal_search_term=""agriculture"" data-page_content_group=""Web Links"" data-search_position=""214"" data-servercallhost=""www.thomasnet.com"" class=""text""><img class=""offsite"" src=""//cdn.thomasnet.com/images/icons/offsite_icon_blue.png"" alt=""""></a>', 'Primary Company Type': 'Distributor', 'Additional Activities': 'Custom Manufacturer', 'Key Personnel': 'Not Available', 'Quality Certifications': 'Not Available', 'Registrations': 'Not Available', 'Annual Sales': 'Not Available', 'No of Employees': 'Not Available', 'Year Founded': '1965'}",https://lancasterpartsandequipment.com/,Lancaster Parts & Equipment,Distributor,,['Agricultural Equipment'],,"['details', 'equipment', 'brands']",agriculture,717-925-8169,Agricultural Equipment
